danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;id;duration_ms
0.58;0.338;-8.963;0.0327;0.929;0.858;0.1;0.207;69.954;4labmONYiTJwI6SRtnogMj;212571
0.761;0.359;-12.326;0.0703;0.957;0.000143;0.147;0.505;103.069;47pcemZiexpOV5ydQL052g;238835
0.519;0.256;-11.056;0.0802;0.659;0.181;0.122;0.309;79.968;6JAPKKs5jXnjS8Kr3JG79x;200250
0.55;0.218;-13.886;0.038;0.896;0.0128;0.111;0.344;79.586;0JKO9jlTWf5yzIMSyiS78i;150158
0.439;0.303;-10.839;0.0422;0.839;0.0;0.071;0.268;139.475;02JIdsrod3BYucThfUFDUX;170787
0.611;0.428;-10.723;0.0474;0.834;0.00517;0.113;0.389;133.281;5lIOhDGfy2lQJWWwxBm8L4;168627
0.734;0.731;-5.24;0.0473;0.0784;0.0;0.108;0.705;96.071;3DZ11M7LSpVQzYHnFx3i95;221307
0.62;0.199;-13.788;0.0344;0.976;0.00178;0.107;0.179;129.01;2UBwvSk8tTMqydEdWsfBb8;218160
0.549;0.313;-11.525;0.0322;0.759;0.108;0.0875;0.216;113.962;1g6aK9HzKkbbQ2RpqtUyvL;292625
0.27;0.215;-18.371;0.0376;0.953;0.948;0.11;0.0502;100.517;7MKJfTaBcB7OvZyCDaRUSx;374973
0.192;0.359;-10.572;0.0287;0.735;0.959;0.28;0.277;144.565;1Iiq3tVtUZF0y8TYRENOHv;78000
0.332;0.134;-15.857;0.0393;0.85;0.0126;0.109;0.146;87.147;362bnKhXyDy78eqsapbGAF;215867
0.592;0.214;-13.468;0.115;0.936;1.62e-05;0.253;0.422;81.672;5cwCW4r6ybpSiHWMpMKHoJ;117037
0.808;0.589;-6.808;0.0412;0.247;1.84e-05;0.152;0.861;119.977;7t9FPbLFwrI8ymM7aeM7qD;144000
0.813;0.42;-7.118;0.113;0.112;1.63e-06;0.171;0.401;94.02;1LEac3XXwvRlOWkKDZjLeK;185601
0.458;0.301;-11.959;0.0796;0.685;9.39e-05;0.0995;0.178;68.526;289EFKMcZghPHBmVBZ8PqB;360600
0.402;0.369;-9.166;0.0851;0.134;0.000194;0.111;0.212;174.376;5DNa1gmm4SVyAjAFGmUrTd;252253
0.78;0.591;-7.764;0.09;0.807;0.0;0.23;0.771;126.803;7eyjhTyv9gSVJQ9HTk6AUU;166280
0.709;0.828;-5.495;0.0366;0.0938;6.59e-05;0.11;0.671;112.027;7uYB2NKD1DrlwpKc3U7fNi;280987
0.685;0.872;-4.945;0.465;0.489;0.0;0.841;0.724;110.044;02M7L7vwVmzrRNq6gx9oxE;226909
0.64;0.74;-4.083;0.0284;0.0115;0.00678;0.167;0.785;116.879;6K4t31amVTZDgR3sKmwUJJ;216320
0.556;0.329;-15.133;0.294;0.152;0.113;0.123;0.39;79.999;4mtiZlPZFfJIMXY1VHccZ2;210274
0.642;0.396;-16.843;0.0642;0.462;0.000823;0.106;0.797;84.082;6Dk5fHTvH897XrVzCO64Mx;286493
0.538;0.677;-6.099;0.187;0.00541;0.0;0.236;0.913;132.346;2cxbxpHrND6i4uvUGVvC9J;214200
